CUSIP,INVENTORY,ISSUER,COUPON,MATURITY,PRICE,YIELD,quote_date,settle_date
803854KN7,100000,"SASKATCHEWAN, PROVINCE O",2.8,2052-12-02 00:00:00,78.632,4.090711476064986,2024-12-30,2024-12-31
651333GH3,500000,"NEWFOUNDLAND, PROVINCE O",3.15,2052-12-02 00:00:00,81.429,4.29845364155498,2024-12-30,2024-12-31
68333ZAS6,468000,"ONTARIO, PROVINCE OF",2.55,2052-12-02 00:00:00,75.383,4.026051033138839,2024-12-30,2024-12-31
563469UZ6,50000,"MANITOBA, PROVINCE OF",3.8,2053-09-05 00:00:00,93.035,4.220814177288379,2024-12-30,2024-12-31
74814ZFL2,215000,"QUEBEC, PROVINCE OF",2.85,2053-12-01 00:00:00,79.311,4.074170564177867,2024-12-30,2024-12-31
68333ZAV9,100000,"ONTARIO, PROVINCE OF",3.75,2053-12-02 00:00:00,94.27,4.08952017061245,2024-12-30,2024-12-31
110709GM8,496000,"BRITISH COLUMBIA, PROVIN",4.25,2053-12-18 00:00:00,102.246,4.116459339839379,2024-12-30,2024-12-31
803854JX7,500000,"SASKATCHEWAN, PROVINCE O",3.75,2054-03-05 00:00:00,94.506,4.073301044755046,2024-12-30,2024-12-31
651333GL4,492000,"NEWFOUNDLAND, PROVINCE O",4.1,2054-10-17 00:00:00,96.169,4.329767650488446,2024-12-30,2024-12-31
68333ZBA4,100000,"ONTARIO, PROVINCE OF",4.15,2054-12-02 00:00:00,100.649,4.111935199011664,2024-12-30,2024-12-31
803854KV9,500000,"SASKATCHEWAN, PROVINCE O",4.2,2054-12-02 00:00:00,102.038,4.081258562316925,2024-12-30,2024-12-31
4488148V8,100000,HYDRO-QUEBEC,4,2055-02-15 00:00:00,97.774,4.129593596108636,2024-12-30,2024-12-31
74814ZFQ1,100000,"QUEBEC, PROVINCE OF",4.4,2055-12-01 00:00:00,104.394,4.146370864726969,2024-12-30,2024-12-31
68333ZBF3,100000,"ONTARIO, PROVINCE OF",4.6,2055-12-02 00:00:00,108.439,4.114946874715622,2024-12-30,2024-12-31
803854KG2,500000,"SASKATCHEWAN, PROVINCE O",2.95,2058-06-02 00:00:00,79.643,4.069684927486592,2024-12-30,2024-12-31
448814JC8,177000,HYDRO-QUEBEC,2.1,2060-02-15 00:00:00,63.923,4.028309971955065,2024-12-30,2024-12-31
448814JD6,250000,HYDRO-QUEBEC,2.1,2060-02-15 00:00:00,98.195,4.093730305664273,2024-12-30,2024-12-31
